Cell_ID	Location_Center_X	Location_Center_Y
0	351.98039215686276	131.86274509803923
1	541.6601941747573	248.06796116504853
2	719.8395721925134	178.8716577540107
3	365.8341463414634	235.71219512195123
4	923.6891191709844	270.85492227979273
5	561.5940594059406	392.94554455445547
6	303.95675675675676	336.9135135135135
7	732.2367149758454	339.7487922705314
8	461.780487804878	415.30243902439025
9	743.0093896713615	527.3568075117371
10	882.713567839196	532.713567839196
11	605.8457711442786	553.4676616915423
12	132.715	565.48
13	546.8472906403941	614.8423645320197
14	716.725888324873	720.015228426396
