Cell_ID	Location_Center_X	Location_Center_Y
0	567.6935483870968	116.54838709677419
1	180.08771929824562	162.66081871345028
2	390.9908675799087	264.21004566210047
3	690.25	230.6745283018868
4	237.37234042553192	232.3244680851064
5	912.4563106796116	286.8592233009709
6	797.3674418604651	418.04651162790697
7	378.4660194174757	463.8883495145631
8	264.09859154929575	374.99530516431923
9	121.77722772277228	491.94554455445547
10	562.2473684210527	560.6631578947369
11	222.16145833333334	582.921875
12	756.3894736842105	580.4315789473684
13	835.1368421052632	747.8842105263158
14	1092.5492227979275	676.3886010362694
