Cell_ID	Location_Center_X	Location_Center_Y
0	355.05829596412553	145.34529147982062
1	531.5384615384615	239.6346153846154
2	129.48076923076923	371.63461538461536
3	847.6078431372549	181.64705882352942
4	342.3152709359606	312.20197044334975
5	751.9690721649484	299.1340206185567
6	405.78333333333336	337.56111111111113
7	1009.1826923076923	352.77884615384613
8	597.790909090909	391.97727272727275
9	902.1021505376344	540.8924731182796
10	432.3495145631068	565.6019417475728
11	648.3980582524272	511.49514563106794
12	356.9591836734694	544.280612244898
13	487.910447761194	795.8557213930349
14	1054.6425120772947	619.5265700483092
15	745.6746411483253	738.5502392344498
16	904.1340206185567	707.0567010309278
