Cell_ID	Location_Center_X	Location_Center_Y
0	736.0895522388059	173.0597014925373
1	922.2279069767442	234.70697674418605
2	280.92344497607655	268.32535885167465
3	476.96923076923076	249.83589743589744
4	851.152380952381	394.5047619047619
5	706.7980769230769	422.46634615384613
6	390.62371134020617	558.1237113402062
7	1060.2335766423357	499.02919708029196
8	990.2786885245902	605.2185792349727
9	592.4878048780488	618.0585365853658
10	839.0377358490566	703.4056603773585
11	366.9220779220779	654.3441558441558
12	262.2283950617284	656.6975308641976
13	963.6753926701571	729.9947643979058
14	620.2680412371134	768.7422680412371
15	334.43684210526317	718.9
16	540.0	753.8571428571429
