Cell_ID	Location_Center_X	Location_Center_Y
0	407.1683673469388	139.3622448979592
1	549.839378238342	114.40932642487047
2	872.9795918367347	224.20408163265307
3	724.8523809523809	251.44285714285715
4	296.95631067961165	367.15533980582524
5	973.9158415841584	335.63366336633663
6	462.0	400.2262443438914
7	584.28125	382.1822916666667
8	817.5118483412323	479.7962085308057
9	215.3302752293578	446.5045871559633
9	275.55494505494505	457.68131868131866
10	1026.6829268292684	665.9219512195122
11	562.3404255319149	580.6170212765958
12	714.1732673267327	641.7920792079208
13	788.2337662337662	594.3246753246754
14	472.38418079096044	624.1751412429378
15	457.425	767.635
16	261.88235294117646	749.8382352941177
17	223.82258064516128	813.505376344086
18	361.7931034482759	803.551724137931
