Cell_ID	Location_Center_X	Location_Center_Y
0	471.4780487804878	206.80975609756098
1	689.8464912280701	216.6184210526316
2	985.7058823529412	246.54901960784315
3	349.3787878787879	191.06565656565655
4	770.8602150537635	320.18279569892474
5	776.9077669902913	430.69417475728153
6	984.1066666666667	431.4088888888889
7	350.77319587628864	288.2474226804124
8	895.5315789473684	394.9842105263158
9	221.45971563981044	397.61611374407585
10	399.271186440678	412.49152542372883
11	1127.3589743589744	536.4666666666667
12	664.0480769230769	522.8221153846154
13	171.63076923076923	549.2820512820513
14	884.3910891089109	591.7178217821782
15	400.296875	602.8645833333334
16	925.1658291457286	668.5175879396985
17	605.5906040268457	642.3892617449665
18	742.5104166666666	679.6927083333334
19	1023.2091836734694	727.8265306122449
