feature	u	v	sig_level	power	estimated_sample_size
efficientnet_0	1	254	1.30480167014614e-05	0.8	563.521954130131
efficientnet_1	1	254	1.30480167014614e-05	0.8	1009.59107700252
efficientnet_2	1	254	1.30480167014614e-05	0.8	64.8259187122834
efficientnet_3	1	254	1.30480167014614e-05	0.8	1201.40694229486
efficientnet_4	1	254	1.30480167014614e-05	0.8	2445.51410341455
efficientnet_5	1	254	1.30480167014614e-05	0.8	976.625087249966
efficientnet_6	1	254	1.30480167014614e-05	0.8	76.3655882572018
efficientnet_7	1	254	1.30480167014614e-05	0.8	193.565044210549
efficientnet_8	1	254	1.30480167014614e-05	0.8	636.209180266405
efficientnet_9	1	254	1.30480167014614e-05	0.8	41.0711889162267
efficientnet_10	1	254	1.30480167014614e-05	0.8	3474.07244165966
efficientnet_11	1	254	1.30480167014614e-05	0.8	3159.22937745041
efficientnet_12	1	254	1.30480167014614e-05	0.8	106.659881797393
efficientnet_13	1	254	1.30480167014614e-05	0.8	179.063274290359
efficientnet_14	1	254	1.30480167014614e-05	0.8	98.9179623257746
efficientnet_15	1	254	1.30480167014614e-05	0.8	144.988121050234
efficientnet_16	1	254	1.30480167014614e-05	0.8	54.8636598638807
efficientnet_17	1	254	1.30480167014614e-05	0.8	103.152992443474
efficientnet_18	1	254	1.30480167014614e-05	0.8	64.8027520167391
efficientnet_19	1	254	1.30480167014614e-05	0.8	554.050406746077
efficientnet_20	1	254	1.30480167014614e-05	0.8	83.7981179412403
efficientnet_21	1	254	1.30480167014614e-05	0.8	656.486385452201
efficientnet_22	1	254	1.30480167014614e-05	0.8	194.194522943919
efficientnet_23	1	254	1.30480167014614e-05	0.8	184.304814323038
efficientnet_24	1	254	1.30480167014614e-05	0.8	2983.08405418155
efficientnet_25	1	254	1.30480167014614e-05	0.8	59.2032172582405
efficientnet_26	1	254	1.30480167014614e-05	0.8	172.939254117555
efficientnet_27	1	254	1.30480167014614e-05	0.8	369.738466463372
efficientnet_28	1	254	1.30480167014614e-05	0.8	173.716105335041
efficientnet_29	1	254	1.30480167014614e-05	0.8	308.830647231009
efficientnet_30	1	254	1.30480167014614e-05	0.8	368.273198427714
efficientnet_31	1	254	1.30480167014614e-05	0.8	74.6865263043621
efficientnet_32	1	254	1.30480167014614e-05	0.8	592.540705762955
efficientnet_33	1	254	1.30480167014614e-05	0.8	134.546557477287
efficientnet_34	1	254	1.30480167014614e-05	0.8	3405.6287896578
efficientnet_35	1	254	1.30480167014614e-05	0.8	342.127708252253
efficientnet_36	1	254	1.30480167014614e-05	0.8	106.964419082005
efficientnet_37	1	254	1.30480167014614e-05	0.8	1445.95945865873
efficientnet_38	1	254	1.30480167014614e-05	0.8	184.971890801519
efficientnet_39	1	254	1.30480167014614e-05	0.8	456.732619284023
efficientnet_40	1	254	1.30480167014614e-05	0.8	238.578095017459
efficientnet_41	1	254	1.30480167014614e-05	0.8	57.9637957185901
efficientnet_42	1	254	1.30480167014614e-05	0.8	47.7244744699189
efficientnet_43	1	254	1.30480167014614e-05	0.8	469.123749200507
efficientnet_44	1	254	1.30480167014614e-05	0.8	566.548155619938
efficientnet_45	1	254	1.30480167014614e-05	0.8	37.3287585730845
efficientnet_46	1	254	1.30480167014614e-05	0.8	687.853071857756
efficientnet_47	1	254	1.30480167014614e-05	0.8	309.86294665977
efficientnet_48	1	254	1.30480167014614e-05	0.8	243.290233766084
efficientnet_49	1	254	1.30480167014614e-05	0.8	90.7604307077733
efficientnet_50	1	254	1.30480167014614e-05	0.8	6137.92667899317
efficientnet_51	1	254	1.30480167014614e-05	0.8	216.690248694941
efficientnet_52	1	254	1.30480167014614e-05	0.8	1118.63371707838
efficientnet_53	1	254	1.30480167014614e-05	0.8	755.75480663708
efficientnet_54	1	254	1.30480167014614e-05	0.8	644.672237473706
efficientnet_55	1	254	1.30480167014614e-05	0.8	1759.48128127434
efficientnet_56	1	254	1.30480167014614e-05	0.8	59.8126568192573
efficientnet_57	1	254	1.30480167014614e-05	0.8	755.400393431893
efficientnet_58	1	254	1.30480167014614e-05	0.8	266.268123580036
efficientnet_59	1	254	1.30480167014614e-05	0.8	308.54610543837
efficientnet_60	1	254	1.30480167014614e-05	0.8	1156.33749912898
efficientnet_61	1	254	1.30480167014614e-05	0.8	459.047924302438
efficientnet_62	1	254	1.30480167014614e-05	0.8	543.577244865644
efficientnet_63	1	254	1.30480167014614e-05	0.8	464.814180215889
efficientnet_64	1	254	1.30480167014614e-05	0.8	153.124753308803
efficientnet_65	1	254	1.30480167014614e-05	0.8	81.8167762186799
efficientnet_66	1	254	1.30480167014614e-05	0.8	268.198472697394
efficientnet_67	1	254	1.30480167014614e-05	0.8	143.628299279953
efficientnet_68	1	254	1.30480167014614e-05	0.8	300.090509826708
efficientnet_69	1	254	1.30480167014614e-05	0.8	206.234052527568
efficientnet_70	1	254	1.30480167014614e-05	0.8	155.781939912653
efficientnet_71	1	254	1.30480167014614e-05	0.8	42.429047008116
efficientnet_72	1	254	1.30480167014614e-05	0.8	495.393233958839
efficientnet_73	1	254	1.30480167014614e-05	0.8	164.738906535519
efficientnet_74	1	254	1.30480167014614e-05	0.8	94.4876535880485
efficientnet_75	1	254	1.30480167014614e-05	0.8	50.9091103223699
efficientnet_76	1	254	1.30480167014614e-05	0.8	389.961050011033
efficientnet_77	1	254	1.30480167014614e-05	0.8	98.0976705656344
efficientnet_78	1	254	1.30480167014614e-05	0.8	777.667718802336
efficientnet_79	1	254	1.30480167014614e-05	0.8	109.718347819457
efficientnet_80	1	254	1.30480167014614e-05	0.8	948.560444286867
efficientnet_81	1	254	1.30480167014614e-05	0.8	583.719344861363
efficientnet_82	1	254	1.30480167014614e-05	0.8	787.010473044738
efficientnet_83	1	254	1.30480167014614e-05	0.8	824.364045950435
efficientnet_84	1	254	1.30480167014614e-05	0.8	1047.77351870085
efficientnet_85	1	254	1.30480167014614e-05	0.8	3259.04505862836
efficientnet_86	1	254	1.30480167014614e-05	0.8	125.582723077321
efficientnet_87	1	254	1.30480167014614e-05	0.8	2380.16027082843
efficientnet_88	1	254	1.30480167014614e-05	0.8	676.835253282816
efficientnet_89	1	254	1.30480167014614e-05	0.8	455.343414743608
efficientnet_90	1	254	1.30480167014614e-05	0.8	479.108166462239
efficientnet_91	1	254	1.30480167014614e-05	0.8	152.639277799518
efficientnet_92	1	254	1.30480167014614e-05	0.8	754.676118572798
efficientnet_93	1	254	1.30480167014614e-05	0.8	1414.06379315993
efficientnet_94	1	254	1.30480167014614e-05	0.8	1939.02772550606
efficientnet_95	1	254	1.30480167014614e-05	0.8	42.1241688647298
efficientnet_96	1	254	1.30480167014614e-05	0.8	43.5667860636733
efficientnet_97	1	254	1.30480167014614e-05	0.8	227.867574010627
efficientnet_98	1	254	1.30480167014614e-05	0.8	91.6503286090791
efficientnet_100	1	254	1.30480167014614e-05	0.8	223.443122142066
efficientnet_101	1	254	1.30480167014614e-05	0.8	54.3911916510718
efficientnet_102	1	254	1.30480167014614e-05	0.8	1736.61398204233
efficientnet_103	1	254	1.30480167014614e-05	0.8	80.9461982291756
efficientnet_104	1	254	1.30480167014614e-05	0.8	1261.58023644848
efficientnet_105	1	254	1.30480167014614e-05	0.8	1695.05235610675
efficientnet_106	1	254	1.30480167014614e-05	0.8	32.5281232126989
efficientnet_107	1	254	1.30480167014614e-05	0.8	50.6944990509579
efficientnet_108	1	254	1.30480167014614e-05	0.8	405.17208254978
efficientnet_109	1	254	1.30480167014614e-05	0.8	591.858138865413
efficientnet_110	1	254	1.30480167014614e-05	0.8	95.0319412088703
efficientnet_111	1	254	1.30480167014614e-05	0.8	49.8849430701916
efficientnet_112	1	254	1.30480167014614e-05	0.8	534.148714303086
efficientnet_113	1	254	1.30480167014614e-05	0.8	248.154829982979
efficientnet_114	1	254	1.30480167014614e-05	0.8	832.733303369805
efficientnet_115	1	254	1.30480167014614e-05	0.8	273.162300086076
efficientnet_116	1	254	1.30480167014614e-05	0.8	276.330044447642
efficientnet_117	1	254	1.30480167014614e-05	0.8	14704.5892236293
efficientnet_118	1	254	1.30480167014614e-05	0.8	48.4418475217084
